은행,상품명,금리
바로저축은행,바로6개월 정기예금 단리식,3.9%
바로저축은행,바로6개월 정기예금 복리식,3.9%
바로저축은행,바로6개월 정기예금 단리식,3.9%
바로저축은행,바로6개월 정기예금 복리식,3.9%
바로저축은행,바로6개월 정기예금 단리식,3.9%
바로저축은행,바로6개월 정기예금 복리식,3.9%
바로저축은행,바로6개월 정기예금 단리식,3.9%
바로저축은행,바로6개월 정기예금 복리식,3.9%
바로저축은행,바로6개월 정기예금 단리식(비대면),3.85%
바로저축은행,바로6개월 정기예금 복리식(비대면),3.85%
바로저축은행,바로6개월 정기예금 단리식(비대면),3.85%
바로저축은행,바로6개월 정기예금 복리식(비대면),3.85%
바로저축은행,바로6개월 정기예금 단리식(비대면),3.85%
바로저축은행,바로6개월 정기예금 복리식(비대면),3.85%
바로저축은행,바로6개월 정기예금 단리식(비대면),3.85%
바로저축은행,바로6개월 정기예금 복리식(비대면),3.85%
스카이저축은행,회전정기예금,3.8%
스카이저축은행,비대면회전정기예금,3.8%
인성저축은행,회전정기예금,3.8%
인성저축은행,e-회전정기예금,3.8%
스카이저축은행,회전정기예금,3.8%
스카이저축은행,비대면회전정기예금,3.8%
인성저축은행,회전정기예금,3.8%
인성저축은행,e-회전정기예금,3.8%
스카이저축은행,회전정기예금,3.8%
스카이저축은행,비대면회전정기예금,3.8%
인성저축은행,회전정기예금,3.8%
인성저축은행,e-회전정기예금,3.8%
스카이저축은행,회전정기예금,3.8%
스카이저축은행,비대면회전정기예금,3.8%
인성저축은행,회전정기예금,3.8%
인성저축은행,e-회전정기예금,3.8%
다올저축은행,Fi 리볼빙 정기예금 (대면),3.75%
다올저축은행,Fi 리볼빙 정기예금 (비대면),3.75%
다올저축은행,Fi 리볼빙 정기예금 (대면),3.75%
다올저축은행,Fi 리볼빙 정기예금 (비대면),3.75%
다올저축은행,Fi 리볼빙 정기예금 (대면),3.75%
다올저축은행,Fi 리볼빙 정기예금 (비대면),3.75%
다올저축은행,Fi 리볼빙 정기예금 (대면),3.75%
다올저축은행,Fi 리볼빙 정기예금 (비대면),3.75%
디비저축은행,DreamBig 정기예금(12개월회전/창구),3.7%
디비저축은행,DreamBig E-정기예금(12개월회전/인터넷),3.7%
디비저축은행,M-DreamBig 정기예금(12개월회전/모바일),3.7%
HB저축은행,e-회전정기예금,3.7%
HB저축은행,스마트회전정기예금,3.7%
더케이저축은행,e-회전식정기예금(1년단위 변동금리상품),3.7%
다올저축은행,Fi 리볼빙 정기예금(6M)(대면),3.7%
다올저축은행,Fi 리볼빙 정기예금(6M)(비대면),3.7%
고려저축은행,회전정기예금,3.7%
고려저축은행,회전정기예금(비대면),3.7%
금화저축은행,"회전정기예금(1년단위,변동금리)",3.7%
금화저축은행,"e-회전정기예금(1년단위,변동금리)",3.7%
디비저축은행,DreamBig 정기예금(12개월회전/창구),3.7%
디비저축은행,DreamBig E-정기예금(12개월회전/인터넷),3.7%
디비저축은행,M-DreamBig 정기예금(12개월회전/모바일),3.7%
HB저축은행,e-회전정기예금,3.7%
HB저축은행,스마트회전정기예금,3.7%
더케이저축은행,e-회전식정기예금(1년단위 변동금리상품),3.7%
다올저축은행,Fi 리볼빙 정기예금(6M)(대면),3.7%
다올저축은행,Fi 리볼빙 정기예금(6M)(비대면),3.7%
고려저축은행,회전정기예금,3.7%
고려저축은행,회전정기예금(비대면),3.7%
금화저축은행,"회전정기예금(1년단위,변동금리)",3.7%
금화저축은행,"e-회전정기예금(1년단위,변동금리)",3.7%
디비저축은행,DreamBig 정기예금(12개월회전/창구),3.7%
디비저축은행,DreamBig E-정기예금(12개월회전/인터넷),3.7%
디비저축은행,M-DreamBig 정기예금(12개월회전/모바일),3.7%
HB저축은행,e-회전정기예금,3.7%
HB저축은행,스마트회전정기예금,3.7%
더케이저축은행,e-회전식정기예금(1년단위 변동금리상품),3.7%
다올저축은행,Fi 리볼빙 정기예금(6M)(대면),3.7%
다올저축은행,Fi 리볼빙 정기예금(6M)(비대면),3.7%
고려저축은행,회전정기예금,3.7%
고려저축은행,회전정기예금(비대면),3.7%
금화저축은행,"회전정기예금(1년단위,변동금리)",3.7%
금화저축은행,"e-회전정기예금(1년단위,변동금리)",3.7%
디비저축은행,DreamBig 정기예금(12개월회전/창구),3.7%
디비저축은행,DreamBig E-정기예금(12개월회전/인터넷),3.7%
디비저축은행,M-DreamBig 정기예금(12개월회전/모바일),3.7%
HB저축은행,e-회전정기예금,3.7%
HB저축은행,스마트회전정기예금,3.7%
더케이저축은행,e-회전식정기예금(1년단위 변동금리상품),3.7%
다올저축은행,Fi 리볼빙 정기예금(6M)(대면),3.7%
다올저축은행,Fi 리볼빙 정기예금(6M)(비대면),3.7%
고려저축은행,회전정기예금,3.7%
고려저축은행,회전정기예금(비대면),3.7%
금화저축은행,"회전정기예금(1년단위,변동금리)",3.7%
금화저축은행,"e-회전정기예금(1년단위,변동금리)",3.7%
수협은행,헤이(Hey)정기예금,3.65%
애큐온저축은행,플러스회전식정기예금(변동금리),3.65%
애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",3.65%
키움예스저축은행,"e-회전yes정기예금(1년단위 변동금리상품) (인터넷뱅킹, 스마트뱅킹)",3.65%
키움예스저축은행,SB톡톡 회전yes정기예금(1년단위 변동금리상품) (비대면),3.65%
애큐온저축은행,플러스회전식정기예금(변동금리),3.65%
애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",3.65%
키움예스저축은행,"e-회전yes정기예금(1년단위 변동금리상품) (인터넷뱅킹, 스마트뱅킹)",3.65%
키움예스저축은행,SB톡톡 회전yes정기예금(1년단위 변동금리상품) (비대면),3.65%
애큐온저축은행,플러스회전식정기예금(변동금리),3.65%
애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",3.65%
키움예스저축은행,"e-회전yes정기예금(1년단위 변동금리상품) (인터넷뱅킹, 스마트뱅킹)",3.65%
키움예스저축은행,SB톡톡 회전yes정기예금(1년단위 변동금리상품) (비대면),3.65%
애큐온저축은행,플러스회전식정기예금(변동금리),3.65%
애큐온저축은행,"플러스회전식정기예금(변동금리,모바일)",3.65%
키움예스저축은행,"e-회전yes정기예금(1년단위 변동금리상품) (인터넷뱅킹, 스마트뱅킹)",3.65%
키움예스저축은행,SB톡톡 회전yes정기예금(1년단위 변동금리상품) (비대면),3.65%
오에스비저축은행,OSB회전식정기예금,3.6%
오에스비저축은행,인터넷OSB회전식정기예금,3.6%
스카이저축은행,회전(6M)정기예금,3.6%
스카이저축은행,비대면회전(6M)정기예금,3.6%
HB저축은행,회전정기예금,3.6%
키움예스저축은행,회전yes정기예금(1년단위 변동금리상품),3.6%
더케이저축은행,회전식정기예금(1년단위 변동금리상품),3.6%
유안타저축은행,회전정기예금 (변동금리),3.6%
유안타저축은행,e-회전정기예금 (변동금리),3.6%
유안타저축은행,SB톡톡 회전정기예금 (비대면),3.6%
오에스비저축은행,OSB회전식정기예금,3.6%
오에스비저축은행,인터넷OSB회전식정기예금,3.6%
스카이저축은행,회전(6M)정기예금,3.6%
스카이저축은행,비대면회전(6M)정기예금,3.6%
HB저축은행,회전정기예금,3.6%
키움예스저축은행,회전yes정기예금(1년단위 변동금리상품),3.6%
더케이저축은행,회전식정기예금(1년단위 변동금리상품),3.6%
유안타저축은행,회전정기예금 (변동금리),3.6%
유안타저축은행,e-회전정기예금 (변동금리),3.6%
유안타저축은행,SB톡톡 회전정기예금 (비대면),3.6%
오에스비저축은행,OSB회전식정기예금,3.6%
오에스비저축은행,인터넷OSB회전식정기예금,3.6%
스카이저축은행,회전(6M)정기예금,3.6%
스카이저축은행,비대면회전(6M)정기예금,3.6%
HB저축은행,회전정기예금,3.6%
키움예스저축은행,회전yes정기예금(1년단위 변동금리상품),3.6%
더케이저축은행,회전식정기예금(1년단위 변동금리상품),3.6%
유안타저축은행,회전정기예금 (변동금리),3.6%
유안타저축은행,e-회전정기예금 (변동금리),3.6%
유안타저축은행,SB톡톡 회전정기예금 (비대면),3.6%
오에스비저축은행,OSB회전식정기예금,3.6%
오에스비저축은행,인터넷OSB회전식정기예금,3.6%
스카이저축은행,회전(6M)정기예금,3.6%
스카이저축은행,비대면회전(6M)정기예금,3.6%
HB저축은행,회전정기예금,3.6%
키움예스저축은행,회전yes정기예금(1년단위 변동금리상품),3.6%
더케이저축은행,회전식정기예금(1년단위 변동금리상품),3.6%
유안타저축은행,회전정기예금 (변동금리),3.6%
유안타저축은행,e-회전정기예금 (변동금리),3.6%
유안타저축은행,SB톡톡 회전정기예금 (비대면),3.6%
애큐온저축은행,애큐온모바일예금,3.55%
애큐온저축은행,3-UP정기예금,3.55%
애큐온저축은행,3-UP정기예금(모바일),3.55%
애큐온저축은행,애큐온모바일예금,3.55%
애큐온저축은행,3-UP정기예금,3.55%
애큐온저축은행,3-UP정기예금(모바일),3.55%
애큐온저축은행,애큐온모바일예금,3.55%
애큐온저축은행,3-UP정기예금,3.55%
애큐온저축은행,3-UP정기예금(모바일),3.55%
애큐온저축은행,애큐온모바일예금,3.55%
애큐온저축은행,3-UP정기예금,3.55%
애큐온저축은행,3-UP정기예금(모바일),3.55%
전북은행,"JB 다이렉트예금통장
(만기일시지급식)",3.5%
디비저축은행,DreamBig 정기예금(6M)(6개월회전/창구),3.5%
디비저축은행,M-DreamBig 정기예금(6M)(6개월회전/모바일),3.5%
디비저축은행,DreamBig 정기예금(6M)(6개월회전/창구),3.5%
디비저축은행,M-DreamBig 정기예금(6M)(6개월회전/모바일),3.5%
디비저축은행,DreamBig 정기예금(6M)(6개월회전/창구),3.5%
디비저축은행,M-DreamBig 정기예금(6M)(6개월회전/모바일),3.5%
디비저축은행,DreamBig 정기예금(6M)(6개월회전/창구),3.5%
디비저축은행,M-DreamBig 정기예금(6M)(6개월회전/모바일),3.5%
중소기업은행,IBK평생한가족통장(실세금리정기예금),3.45%
광주은행,The플러스예금,3.4%
전북은행,"JB 123 정기예금
 (만기일시지급식)",3.4%
수협은행,"Sh해양플라스틱Zero!예금
(만기일시지급식)",3.4%
에스비아이저축은행,회전정기예금,3.4%
에스비아이저축은행,회전정기예금,3.4%
에스비아이저축은행,회전정기예금,3.4%
에스비아이저축은행,회전정기예금,3.4%
아이엠뱅크,DGB함께예금,3.35%
광주은행,미즈월복리정기예금,3.35%
중소기업은행,1석7조통장(정기예금),3.32%
광주은행,굿스타트예금,3.15%
경남은행,BNK주거래우대정기예금,3.15%
농협은행,NH내가Green초록세상예금,3.1%
농협은행,NH고향사랑기부예금,3.1%
광주은행,스마트모아Dream정기예금,3.08%
케이뱅크,코드K 정기예금,3.05%
우리은행,WON플러스예금,3%
스탠다드차타드은행,e-그린세이브예금,3%
산업은행,KDB 정기예금,3%
농협은행,NH올원e예금,3%
토스뱅크,토스뱅크 먼저 이자 받는 정기예금,3%
HB저축은행,정기예금,3%
HB저축은행,e-정기예금,3%
HB저축은행,스마트정기예금,3%
HB저축은행,6개월 회전정기예금,3%
HB저축은행,e-6개월 회전정기예금,3%
HB저축은행,스마트 6개월 회전정기예금,3%
HB저축은행,정기예금,3%
HB저축은행,e-정기예금,3%
HB저축은행,스마트정기예금,3%
HB저축은행,6개월 회전정기예금,3%
HB저축은행,e-6개월 회전정기예금,3%
HB저축은행,스마트 6개월 회전정기예금,3%
HB저축은행,정기예금,3%
HB저축은행,e-정기예금,3%
HB저축은행,스마트정기예금,3%
HB저축은행,6개월 회전정기예금,3%
HB저축은행,e-6개월 회전정기예금,3%
HB저축은행,스마트 6개월 회전정기예금,3%
HB저축은행,정기예금,3%
HB저축은행,e-정기예금,3%
HB저축은행,스마트정기예금,3%
HB저축은행,6개월 회전정기예금,3%
HB저축은행,e-6개월 회전정기예금,3%
HB저축은행,스마트 6개월 회전정기예금,3%
농협은행,NH왈츠회전예금 II,2.95%
푸른상호저축은행,푸른 정기예금,2.9%
푸른상호저축은행,푸른 정기예금,2.9%
푸른상호저축은행,푸른 정기예금,2.9%
푸른상호저축은행,푸른 정기예금,2.9%
수협은행,Sh첫만남우대예금,2.85%
카카오뱅크,카카오뱅크 정기예금,2.7%
제주은행,"스마일드림 
정기예금
(개인/만기
지급식)",2.6%
경남은행,BNK MY 원픽 정기예금,2.5%
경남은행,The 든든 예금,2.5%
아이엠뱅크,DGB주거래우대예금(첫만남고객형),2.46%
경남은행,BNK더조은정기예금,2.45%
수협은행,"Sh평생주거래우대예금
(만기일시지급식)",2.4%
다올저축은행,Fi 하이브리드 정기예금 (대면),2.35%
다올저축은행,Fi 하이브리드 정기예금 (비대면),2.35%
다올저축은행,Fi 하이브리드 정기예금 (대면),2.35%
다올저축은행,Fi 하이브리드 정기예금 (비대면),2.35%
다올저축은행,Fi 하이브리드 정기예금 (대면),2.35%
다올저축은행,Fi 하이브리드 정기예금 (비대면),2.35%
다올저축은행,Fi 하이브리드 정기예금 (대면),2.35%
다올저축은행,Fi 하이브리드 정기예금 (비대면),2.35%
제주은행,"J정기예금
(만기지급식)",2.3%
부산은행,LIVE정기예금,2.25%
아이엠뱅크,IM스마트예금,2.2%
부산은행,더(The) 특판 정기예금,2.2%
다올저축은행,Fi 정기예금 (대면),2.2%
다올저축은행,Fi 정기예금 (비대면),2.2%
다올저축은행,Fi 정기예금 (대면),2.2%
다올저축은행,Fi 정기예금 (비대면),2.2%
다올저축은행,Fi 정기예금 (대면),2.2%
다올저축은행,Fi 정기예금 (비대면),2.2%
다올저축은행,Fi 정기예금 (대면),2.2%
다올저축은행,Fi 정기예금 (비대면),2.2%
신한은행,쏠편한 정기예금,2.15%
스카이저축은행,e-정기예금,2.1%
스카이저축은행,b-정기예금,2.1%
금화저축은행,e-정기예금,2.1%
금화저축은행,비대면-정기예금,2.1%
스카이저축은행,e-정기예금,2.1%
스카이저축은행,b-정기예금,2.1%
금화저축은행,e-정기예금,2.1%
금화저축은행,비대면-정기예금,2.1%
스카이저축은행,e-정기예금,2.1%
스카이저축은행,b-정기예금,2.1%
금화저축은행,e-정기예금,2.1%
금화저축은행,비대면-정기예금,2.1%
스카이저축은행,e-정기예금,2.1%
스카이저축은행,b-정기예금,2.1%
금화저축은행,e-정기예금,2.1%
금화저축은행,비대면-정기예금,2.1%
에스비아이저축은행,정기예금,2.05%
에스비아이저축은행,정기예금,2.05%
에스비아이저축은행,정기예금,2.05%
에스비아이저축은행,정기예금,2.05%
하나은행,하나의정기예금,2%
스카이저축은행,정기예금,2%
디에이치저축은행,정기예금,2%
디에이치저축은행,정기예금(비대면),2%
흥국저축은행,정기예금,2%
흥국저축은행,E-정기예금,2%
흥국저축은행,S-정기예금,2%
흥국저축은행,비대면 정기예금,2%
인성저축은행,정기예금,2%
인성저축은행,e-정기예금,2%
금화저축은행,정기예금,2%
스카이저축은행,정기예금,2%
디에이치저축은행,정기예금,2%
디에이치저축은행,정기예금(비대면),2%
흥국저축은행,정기예금,2%
흥국저축은행,E-정기예금,2%
흥국저축은행,S-정기예금,2%
흥국저축은행,비대면 정기예금,2%
인성저축은행,정기예금,2%
인성저축은행,e-정기예금,2%
금화저축은행,정기예금,2%
스카이저축은행,정기예금,2%
디에이치저축은행,정기예금,2%
디에이치저축은행,정기예금(비대면),2%
흥국저축은행,정기예금,2%
흥국저축은행,E-정기예금,2%
흥국저축은행,S-정기예금,2%
흥국저축은행,비대면 정기예금,2%
인성저축은행,정기예금,2%
인성저축은행,e-정기예금,2%
금화저축은행,정기예금,2%
스카이저축은행,정기예금,2%
디에이치저축은행,정기예금,2%
디에이치저축은행,정기예금(비대면),2%
흥국저축은행,정기예금,2%
흥국저축은행,E-정기예금,2%
흥국저축은행,S-정기예금,2%
흥국저축은행,비대면 정기예금,2%
인성저축은행,정기예금,2%
인성저축은행,e-정기예금,2%
금화저축은행,정기예금,2%
아이엠뱅크,DGB행복파트너예금(일반형),1.92%
국민은행,KB Star 정기예금,1.8%
유안타저축은행,정기예금,1.65%
유안타저축은행,e-정기예금,1.65%
유안타저축은행,SB톡톡 정기예금 (비대면),1.65%
유안타저축은행,정기예금,1.65%
유안타저축은행,e-정기예금,1.65%
유안타저축은행,SB톡톡 정기예금 (비대면),1.65%
유안타저축은행,정기예금,1.65%
유안타저축은행,e-정기예금,1.65%
유안타저축은행,SB톡톡 정기예금 (비대면),1.65%
유안타저축은행,정기예금,1.65%
유안타저축은행,e-정기예금,1.65%
유안타저축은행,SB톡톡 정기예금 (비대면),1.65%
민국저축은행,정기예금,1.6%
민국저축은행,e-행복정기예금 (인터넷),1.6%
민국저축은행,비대면정기예금 (비대면),1.6%
민국저축은행,톡톡정기예금 (모바일),1.6%
민국저축은행,정기예금,1.6%
민국저축은행,e-행복정기예금 (인터넷),1.6%
민국저축은행,비대면정기예금 (비대면),1.6%
민국저축은행,톡톡정기예금 (모바일),1.6%
민국저축은행,정기예금,1.6%
민국저축은행,e-행복정기예금 (인터넷),1.6%
민국저축은행,비대면정기예금 (비대면),1.6%
민국저축은행,톡톡정기예금 (모바일),1.6%
민국저축은행,정기예금,1.6%
민국저축은행,e-행복정기예금 (인터넷),1.6%
민국저축은행,비대면정기예금 (비대면),1.6%
민국저축은행,톡톡정기예금 (모바일),1.6%
디비저축은행,E-정기예금(인터넷),1.4%
디비저축은행,M-정기예금(모바일),1.4%
디비저축은행,E-정기예금(인터넷),1.4%
디비저축은행,M-정기예금(모바일),1.4%
디비저축은행,E-정기예금(인터넷),1.4%
디비저축은행,M-정기예금(모바일),1.4%
디비저축은행,E-정기예금(인터넷),1.4%
디비저축은행,M-정기예금(모바일),1.4%
디비저축은행,정기예금(창구),1.3%
고려저축은행,정기예금,1.3%
고려저축은행,정기예금(비대면),1.3%
디비저축은행,정기예금(창구),1.3%
고려저축은행,정기예금,1.3%
고려저축은행,정기예금(비대면),1.3%
디비저축은행,정기예금(창구),1.3%
고려저축은행,정기예금,1.3%
고려저축은행,정기예금(비대면),1.3%
디비저축은행,정기예금(창구),1.3%
고려저축은행,정기예금,1.3%
고려저축은행,정기예금(비대면),1.3%
오에스비저축은행,정기예금,1.2%
오에스비저축은행,인터넷정기예금,1.2%
키움예스저축은행,정기예금,1.2%
키움예스저축은행,"e-정기예금(인터넷뱅킹, 스마트뱅킹)",1.2%
키움예스저축은행,SB톡톡 정기예금(비대면),1.2%
오에스비저축은행,정기예금,1.2%
오에스비저축은행,인터넷정기예금,1.2%
키움예스저축은행,정기예금,1.2%
키움예스저축은행,"e-정기예금(인터넷뱅킹, 스마트뱅킹)",1.2%
키움예스저축은행,SB톡톡 정기예금(비대면),1.2%
오에스비저축은행,정기예금,1.2%
오에스비저축은행,인터넷정기예금,1.2%
키움예스저축은행,정기예금,1.2%
키움예스저축은행,"e-정기예금(인터넷뱅킹, 스마트뱅킹)",1.2%
키움예스저축은행,SB톡톡 정기예금(비대면),1.2%
오에스비저축은행,정기예금,1.2%
오에스비저축은행,인터넷정기예금,1.2%
키움예스저축은행,정기예금,1.2%
키움예스저축은행,"e-정기예금(인터넷뱅킹, 스마트뱅킹)",1.2%
키움예스저축은행,SB톡톡 정기예금(비대면),1.2%
애큐온저축은행,정기예금,1%
더케이저축은행,정기예금,1%
더케이저축은행,e-정기예금,1%
바로저축은행,정기예금,1%
바로저축은행,스마트정기예금(인터넷),1%
바로저축은행,SB톡톡 정기예금(비대면),1%
국제저축은행,꿈 찾아 정기예금,1%
국제저축은행,꿈 찾아 정기예금(비대면),1%
우리저축은행,정기예금,1%
우리저축은행,정기예금(비대면),1%
애큐온저축은행,정기예금,1%
더케이저축은행,정기예금,1%
더케이저축은행,e-정기예금,1%
바로저축은행,정기예금,1%
바로저축은행,스마트정기예금(인터넷),1%
바로저축은행,SB톡톡 정기예금(비대면),1%
국제저축은행,꿈 찾아 정기예금,1%
국제저축은행,꿈 찾아 정기예금(비대면),1%
우리저축은행,정기예금,1%
우리저축은행,정기예금(비대면),1%
애큐온저축은행,정기예금,1%
더케이저축은행,정기예금,1%
더케이저축은행,e-정기예금,1%
바로저축은행,정기예금,1%
바로저축은행,스마트정기예금(인터넷),1%
바로저축은행,SB톡톡 정기예금(비대면),1%
국제저축은행,꿈 찾아 정기예금,1%
국제저축은행,꿈 찾아 정기예금(비대면),1%
우리저축은행,정기예금,1%
우리저축은행,정기예금(비대면),1%
애큐온저축은행,정기예금,1%
더케이저축은행,정기예금,1%
더케이저축은행,e-정기예금,1%
바로저축은행,정기예금,1%
바로저축은행,스마트정기예금(인터넷),1%
바로저축은행,SB톡톡 정기예금(비대면),1%
국제저축은행,꿈 찾아 정기예금,1%
국제저축은행,꿈 찾아 정기예금(비대면),1%
우리저축은행,정기예금,1%
우리저축은행,정기예금(비대면),1%
